Ticker,Name,Sector,Industry,Market Cap
AAPL,Apple Inc.,Technology,Consumer Electronics,3214729543680
NVDA,NVIDIA Corporation,Technology,Semiconductors,2916531830784
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2889588146176
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2074393837568
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1532611002368
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,2015230427136
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,2015230558208
AVGO,Broadcom Inc.,Technology,Semiconductors,914529255424
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,765563895808
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,406684270592
NFLX,"Netflix, Inc.",Communication Services,Entertainment,406377693184
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,297046507520
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,287165775872
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,242238078976
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,240841211904
LIN,Linde plc,Basic Materials,Specialty Chemicals,217686114304
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,207562817536
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,204867174400
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,179012452352
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,175124824064
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,174692696064
ADBE,Adobe Inc.,Technology,Software - Application,173671759872
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,170385309696
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,169485991936
INTU,Intuit Inc.,Technology,Software - Application,168327069696
TXN,Texas Instruments Incorporated,Technology,Semiconductors,163776151552
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,149748563968
SNY,Sanofi,Healthcare,Drug Manufacturers - General,147723042816
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,139803000832
HON,Honeywell International Inc.,Industrials,Conglomerates,136755953664
CMCSA,Comcast Corporation,Communication Services,Telecom Services,135171465216
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,131928432640
ARM,Arm Holdings plc,Technology,Semiconductors,127923986432
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,126302085120
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,122488496128
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,120669798400
MU,"Micron Technology, Inc.",Technology,Semiconductors,114882068480
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,112547946496
INTC,Intel Corporation,Technology,Semiconductors,111237701632
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,106792042496
ADI,"Analog Devices, Inc.",Technology,Semiconductors,104988196864
APP,AppLovin Corporation,Technology,Software - Application,104316116992
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,100523417600
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,95451398144
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,94696382464
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,90431504384
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,84195860480
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,83437854720
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,78872903680
DASH,"DoorDash, Inc.",Communication Services,Internet Content & Information,79759425536
CTAS,Cintas Corporation,Industrials,Specialty Business Services,78759682048
TRI,Thomson Reuters Corporation Common Shares,Industrials,Specialty Business Services,78280867840
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,77202620416
MSTR,MicroStrategy Incorporated,Technology,Software - Application,76633497600
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,74336714752
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,74168262656
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Capital Markets,73705799680
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,70121717760
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,69927690240
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,68900708352
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,68402688000
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,68369584128
WDAY,"Workday, Inc.",Technology,Software - Application,66664919040
NTES,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,65731944448
JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail,66538721280
ROP,"Roper Technologies, Inc.",Technology,Software - Application,61809733632
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,60970905600
TEAM,Atlassian Corporation,Technology,Software - Application,57896759296
CSX,CSX Corporation,Industrials,Railroads,57463824384
